STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,INDUSTRIAL_INSTRUMENT,Industrial policy instrument,ACTIVITY,Economic activity,REF_AREA,Reference area,INSTRUMENT_TYPE,Instrument type,SECTORAL,Sectoral criterion,GREEN,Green criterion,TECH_FOCUSED,Technology-focused criterion,RD,R&D criterion,SME,SMEs and young firms criterion,JOBS_SKILLS,Jobs&skills criterion,DIGITAL,Digital criterion,EXPORT_FINANCE,Export finance instrument,COVID_SUPPORT,COVID emergency support,EU_SUPPORT,EU support,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,INSTRUMENT_ORIGINAL,Industrial policy instrument name in original language
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN15,Canada Media Fund - Convergent and Experimental streams,J,Information and communication,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,178,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN15,Canada Media Fund - Convergent and Experimental streams,J,Information and communication,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.007,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN15,Canada Media Fund - Convergent and Experimental streams,J,Information and communication,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.007,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN15,Canada Media Fund - Convergent and Experimental streams,J,Information and communication,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.007,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,918,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2020,,925,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,1000,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.04,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.042,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN16,Canada Small Business Financing Program,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.04,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,232,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2020,,233,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,252,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.01,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.011,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN17,Jobs and Growth Fund,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.01,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,XDC,National currency,2019,,25008,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,XDC,National currency,2020,,18143,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,XDC,National currency,2021,,18285,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,1.082,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.822,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN26,Export Development Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.733,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,31,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2020,,57,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,61,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.001,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.003,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN28,Agribusiness Loan Program (ABLP),C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.002,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN34,Canada Emergency Commercial Rent Assistance (CECRA),_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,XDC,National currency,2020,,1654,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN34,Canada Emergency Commercial Rent Assistance (CECRA),_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.075,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,291,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2020,,293,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,317,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.013,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.013,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN35,Regional Economic Growth through Innovation program - Business Scale Up and Productivity,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.013,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN36,Invest Ontario Fund,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,100,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN36,Invest Ontario Fund,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.004,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN37,Aerospace Regional Recovery Initiative,C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,XDC,National currency,2020,,50,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN37,Aerospace Regional Recovery Initiative,C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,XDC,National currency,2021,,156,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN37,Aerospace Regional Recovery Initiative,C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.002,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN37,Aerospace Regional Recovery Initiative,C,Manufacturing,CAN,Canada,FI01,Loans,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.006,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN40,Strategic Innovation Fund - Net zero accelerator,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,51,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN40,Strategic Innovation Fund - Net zero accelerator,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.002,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,247,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2020,,276,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2021,,362,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2019,,0.011,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.012,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN41,Business Development Bank Canada - Venture Capital,_Z,Not applicable,CAN,Canada,FI03,Venture capital,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.015,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN47,Indigenous Business Initiative,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,XDC,National currency,2020,,249,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN47,Indigenous Business Initiative,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,XDC,National currency,2021,,58,,6,Millions,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN47,Indigenous Business Initiative,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,PT_B1GQ,Percentage of GDP,2020,,0.011,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN47,Indigenous Business Initiative,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,YES,Yes,NO,No,PT_B1GQ,Percentage of GDP,2021,,0.002,,0,Units,Original language is English or French,
DATAFLOW,OECD.STI.PIE:DSD_INDUSTRIAL_POLICY@DF_FIN(1.0),QuIS Industrial policy financial instruments,I,CAN48,Business Development Bank Canada - Loans,_Z,Not applicable,CAN,Canada,FI01,Loans,NO,No,NO,No,NO,No,NO,No,YES,Yes,NO,No,NO,No,NO,No,NO,No,NO,No,XDC,National currency,2019,,7222,,6,Millions,Original language is English or French,
