LOCATION,Country,REG_ID,Region,IND,Indicator,ISC11,Education ISCED level,GENDER,Gender,MEAS,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
GBR,United Kingdom,UKK3,Cornwall And Isles Of Scilly,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,48.9,,
GBR,United Kingdom,UKK3,Cornwall And Isles Of Scilly,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,45.1,,
GBR,United Kingdom,UKK3,Cornwall And Isles Of Scilly,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,41.3,,
GBR,United Kingdom,UKK3,Cornwall And Isles Of Scilly,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,40.3,,
GBR,United Kingdom,UKK3,Cornwall And Isles Of Scilly,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,40.1,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,43,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,43.5,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,44,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,43.2,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,45.9,,
GBR,United Kingdom,UKC2,Northumberland and Tyne And Wear,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,35.3,,
GBR,United Kingdom,UKC2,Northumberland and Tyne And Wear,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,37.5,,
GBR,United Kingdom,UKC2,Northumberland and Tyne And Wear,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,36.6,,
GBR,United Kingdom,UKC2,Northumberland and Tyne And Wear,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,34.7,,
GBR,United Kingdom,UKC2,Northumberland and Tyne And Wear,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,36,,
GBR,United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,44.3,,
GBR,United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,42.5,,
GBR,United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,41.4,,
GBR,United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,39.8,,
GBR,United Kingdom,UKF2,"Leicestershire, Rutland and Northamptonshire",NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,41.4,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,34,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,34,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,32.6,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,35.7,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,30.5,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,38,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,35.9,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,37.9,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,36.9,,
GBR,United Kingdom,UKL2,East Wales,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,34.8,,
GBR,United Kingdom,UKG2,Shropshire and Staffordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,35.6,,
GBR,United Kingdom,UKG2,Shropshire and Staffordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,34.4,,
GBR,United Kingdom,UKG2,Shropshire and Staffordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,35.9,,
GBR,United Kingdom,UKG2,Shropshire and Staffordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,36.9,,
GBR,United Kingdom,UKG2,Shropshire and Staffordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,39.1,,
GBR,United Kingdom,UKH2,Bedfordshire and Hertfordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,37.5,,
GBR,United Kingdom,UKH2,Bedfordshire and Hertfordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,36.4,,
GBR,United Kingdom,UKH2,Bedfordshire and Hertfordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,36.6,,
GBR,United Kingdom,UKH2,Bedfordshire and Hertfordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,35.5,,
GBR,United Kingdom,UKH2,Bedfordshire and Hertfordshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,36.4,,
GBR,United Kingdom,UKI3,Inner London - West,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,20.5,,
GBR,United Kingdom,UKI3,Inner London - West,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,16.2,,
GBR,United Kingdom,UKI3,Inner London - West,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,17.1,,
GBR,United Kingdom,UKI3,Inner London - West,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,18.2,,
GBR,United Kingdom,UKI3,Inner London - West,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,17.8,,
GBR,United Kingdom,UKD4,Lancashire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,33.9,,
GBR,United Kingdom,UKD4,Lancashire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,36.8,,
GBR,United Kingdom,UKD4,Lancashire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,37.2,,
GBR,United Kingdom,UKD4,Lancashire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,37.8,,
GBR,United Kingdom,UKD4,Lancashire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,37.9,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,52.2,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,48.9,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,46.6,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,46.7,,
GBR,United Kingdom,UKM5,North Eastern Scotland,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,55.8,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,55.1,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,53.6,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,53.7,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,52.7,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,55.3,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,31.6,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,32.5,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,32.8,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,34.3,,
GBR,United Kingdom,UKI6,Outer London - South,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L3T4,Upper secondary and post-secondary non-tertiary education,T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,30.7,,
GBR,United Kingdom,UKE1,East Yorkshire And Northern Lincolnshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,32.6,,
GBR,United Kingdom,UKE1,East Yorkshire And Northern Lincolnshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,33.8,,
GBR,United Kingdom,UKE1,East Yorkshire And Northern Lincolnshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,33,,
GBR,United Kingdom,UKE1,East Yorkshire And Northern Lincolnshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,31.5,,
GBR,United Kingdom,UKE1,East Yorkshire And Northern Lincolnshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,29.9,,
GBR,United Kingdom,UKJ2,Surrey East And West Sussex,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,46.4,,
GBR,United Kingdom,UKJ2,Surrey East And West Sussex,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,46.8,,
GBR,United Kingdom,UKJ2,Surrey East And West Sussex,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,49.3,,
GBR,United Kingdom,UKJ2,Surrey East And West Sussex,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,50.4,,
GBR,United Kingdom,UKJ2,Surrey East And West Sussex,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,51.4,,
GBR,United Kingdom,UKE4,West Yorkshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,35.1,,
GBR,United Kingdom,UKE4,West Yorkshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,34.7,,
GBR,United Kingdom,UKE4,West Yorkshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,35.7,,
GBR,United Kingdom,UKE4,West Yorkshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,37.3,,
GBR,United Kingdom,UKE4,West Yorkshire,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,38.1,,
GBR,United Kingdom,UKK4,Devon,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,40.2,,
GBR,United Kingdom,UKK4,Devon,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2016,2016,PC,Percentage,0,Units,,,40,,
GBR,United Kingdom,UKK4,Devon,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2017,2017,PC,Percentage,0,Units,,,41.7,,
GBR,United Kingdom,UKK4,Devon,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2018,2018,PC,Percentage,0,Units,,,43.1,,
GBR,United Kingdom,UKK4,Devon,NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2019,2019,PC,Percentage,0,Units,,,41.2,,
GBR,United Kingdom,UKM8,West Central Scotland  (NUTS2016),NEAC_SHARE_EA_Y25T64,Share of population 25 to 64 year-olds by educational attainment,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),T,Total,VALUE,Value,2015,2015,PC,Percentage,0,Units,,,46,,
